transaction_id,customer_id,product_id,quantity,purchase_date,purchased,age,gender,city,annual_income,signup_date,loyalty_score,is_active,category,price,discount,stock_qty,rating
T00031,349,80,1,2024-01-26,0,26.0,Other,Rajkot,1411947.0,2018-02-14,8.43,1,Electronics,73715.1,5,150,2.4
T00032,243,23,1,2022-10-01,1,31.0,Male,Surat,554093.0,2019-09-20,13.37,1,Clothing,2555.84,20,60,1.3
T00033,570,8,3,2023-08-23,1,45.0,Male,Mumbai,,2020-08-17,71.53,1,Clothing,2620.99,0,163,3.2
T00034,312,10,3,2024-01-26,1,68.0,Other,Mumbai,604182.0,2018-11-15,2.39,1,Electronics,60872.09,15,79,1.9
T00035,550,31,3,2023-01-16,1,74.0,Male,Ahmedabad,1237085.0,2020-07-27,29.4,1,Home,4409.07,0,138,3.0
T00036,124,60,1,2022-11-25,1,52.0,Female,Ahmedabad,322239.0,2020-07-22,5.41,1,Clothing,500.57,10,253,4.9
T00037,729,25,4,2023-04-24,1,57.0,Female,Rajkot,1923712.0,2020-06-10,24.76,1,Toys,1624.24,15,11,3.1
T00038,663,85,2,2022-01-15,0,34.0,Male,Rajkot,2088379.0,2018-09-23,12.6,1,Electronics,28165.65,5,408,4.3
T00039,687,65,3,2023-05-31,1,72.0,Male,Vadodara,1843505.0,2019-01-29,14.22,1,Clothing,2660.2,20,130,4.0
T00040,631,14,4,2022-07-10,1,40.0,Other,Ahmedabad,398128.0,2022-08-27,21.15,1,Books,737.42,0,29,4.8
T00041,360,73,2,2022-06-17,1,37.0,Female,Rajkot,1948501.0,2019-04-23,30.18,1,Groceries,1695.89,15,454,4.5
T00042,707,72,2,2023-06-05,1,50.0,Female,Delhi,1800299.0,2023-05-09,39.51,1,Home,22153.51,5,497,3.0
T00043,610,24,2,2023-09-13,0,65.0,Female,Mumbai,1789613.0,2022-12-03,30.45,1,Books,2901.81,0,436,3.3
T00044,894,7,4,2022-05-17,1,41.0,Other,Ahmedabad,963035.0,2021-06-25,75.37,1,Groceries,1388.41,0,188,4.8
T00045,593,89,4,2022-06-03,1,20.0,Male,Vadodara,645664.0,2023-01-08,15.55,1,Electronics,28480.84,15,255,1.7
T00046,808,16,1,2023-01-23,0,32.0,Male,Ahmedabad,,2023-06-17,9.45,1,Clothing,2613.84,0,178,2.5
T00047,794,34,4,2022-07-28,1,28.0,Male,Vadodara,1682111.0,2018-03-23,56.08,1,Clothing,2850.59,5,300,2.8
T00048,755,88,4,2022-09-29,1,41.0,Other,Vadodara,,2020-07-02,87.81,1,Toys,2144.89,15,258,4.7
T00049,459,81,4,2022-05-23,1,18.0,Other,Ahmedabad,972649.0,2021-12-03,45.65,1,Clothing,3546.64,15,127,2.2
T00050,972,60,2,2023-09-03,1,71.0,Female,Rajkot,252579.0,2019-05-30,71.15,1,Clothing,500.57,10,253,4.9
T00051,480,19,3,2024-06-07,0,47.0,Other,Ahmedabad,571243.0,2018-07-25,24.9,0,Electronics,35068.14,10,456,2.2
T00052,252,71,1,2024-03-30,1,20.0,Female,Rajkot,449649.0,2023-02-21,39.65,0,Books,1763.08,5,388,1.5
T00053,913,14,3,2022-03-10,1,40.0,Female,Mumbai,2208172.0,2018-10-20,55.44,1,Books,737.42,0,29,4.8
T00054,986,64,3,2022-09-04,1,53.0,Female,Mumbai,514159.0,2022-07-07,75.99,0,Home,9040.89,15,269,1.9
T00055,153,48,4,2022-09-18,1,18.0,Other,Rajkot,1807933.0,2020-02-03,62.89,1,Groceries,1241.05,5,166,1.6
T00056,425,24,1,2024-02-27,0,69.0,Female,Rajkot,1345660.0,2019-04-26,78.25,0,Books,2901.81,0,436,3.3
T00057,78,85,3,2022-03-20,0,69.0,Female,Ahmedabad,1601163.0,2019-01-26,81.69,1,Electronics,28165.65,5,408,4.3
T00058,1,13,3,2023-10-20,1,38.0,Male,Mumbai,1814588.0,2020-06-18,14.91,1,Groceries,821.97,20,273,2.9
T00059,381,25,1,2023-09-15,1,65.0,Male,Vadodara,2196401.0,2023-04-05,84.71,1,Toys,1624.24,15,11,3.1
T00060,698,51,4,2024-02-09,1,46.0,Female,Ahmedabad,1651656.0,2023-03-27,76.55,0,Groceries,1250.97,15,158,1.5
T00061,852,98,3,2023-08-28,0,,Female,Mumbai,2491733.0,2018-06-10,98.07,1,Toys,509.15,15,271,2.2
T00062,759,68,2,2023-06-09,1,62.0,Male,Mumbai,1027008.0,2021-11-14,70.11,1,Groceries,529.99,15,359,1.0
T00063,197,45,3,2024-02-11,1,,Other,Ahmedabad,1567000.0,2021-10-26,21.73,0,Clothing,3844.32,20,221,1.6
T00064,296,75,2,2023-09-13,1,32.0,Other,Delhi,2480623.0,2019-12-19,86.76,1,Books,2672.75,5,430,3.2
T00065,665,25,4,2022-11-26,0,74.0,Male,Ahmedabad,1687296.0,2021-08-25,93.09,1,Toys,1624.24,15,11,3.1
T00066,97,74,3,2022-07-08,1,68.0,Other,Vadodara,640125.0,2020-01-01,69.21,0,Groceries,1192.1,10,427,3.2
T00067,679,17,1,2022-04-05,1,68.0,Male,Ahmedabad,,2021-05-26,41.37,1,Toys,1098.17,15,163,2.9
T00068,972,39,1,2023-09-09,1,71.0,Female,Rajkot,252579.0,2019-05-30,71.15,1,Books,663.71,15,434,3.0
T00069,376,28,3,2022-01-08,1,56.0,Male,Vadodara,1098119.0,2020-04-17,45.86,1,Clothing,2710.87,10,470,3.4
T00070,683,46,4,2022-03-08,1,65.0,Other,Surat,2347356.0,2020-10-14,46.04,1,Toys,5893.35,20,336,1.0
T00071,564,12,4,2023-05-11,1,28.0,Other,Rajkot,930049.0,2019-11-09,96.39,1,Home,1131.96,5,445,4.9
T00072,858,3,1,2022-07-10,1,68.0,Other,Delhi,533303.0,2019-07-10,68.72,0,Toys,2617.55,20,192,1.9
T00073,362,40,3,2023-01-01,0,66.0,Other,Delhi,237616.0,2019-06-29,47.91,1,Toys,2580.47,0,234,3.2
T00074,279,57,4,2024-02-07,1,55.0,Female,Ahmedabad,1890682.0,2021-07-16,67.53,0,Toys,2336.65,15,29,2.6
T00075,896,39,1,2023-06-05,0,48.0,Male,Delhi,1927128.0,2018-09-05,62.73,0,Books,663.71,15,434,3.0
T00076,67,52,2,2022-04-27,1,56.0,Other,Mumbai,649247.0,2020-03-21,30.03,1,Home,15124.37,5,237,1.4
T00077,991,58,3,2022-09-24,1,65.0,Other,Vadodara,1990531.0,2021-12-12,21.18,0,Toys,3847.93,20,280,2.1
T00078,429,80,2,2023-09-03,1,49.0,Female,Delhi,948324.0,2018-01-31,86.59,1,Electronics,73715.1,5,150,2.4
T00079,656,86,2,2023-04-30,1,33.0,Other,Surat,1803340.0,2020-07-23,32.38,1,Home,5620.98,10,159,2.4
T00080,730,69,4,2023-05-24,0,71.0,Other,Rajkot,1650123.0,2020-04-25,,1,Home,21463.29,5,293,1.4
T00081,371,21,4,2022-10-25,1,70.0,Female,Ahmedabad,1330870.0,2019-01-20,17.74,1,Home,13309.82,0,331,2.3
T00082,551,14,4,2022-06-13,1,30.0,Female,Vadodara,,2018-06-05,58.32,1,Books,737.42,0,29,4.8
T00083,111,66,3,2023-01-11,0,62.0,Male,Rajkot,648763.0,2018-12-10,26.62,1,Electronics,57496.3,10,441,2.2
T00084,585,36,2,2023-10-15,1,36.0,Other,Ahmedabad,1875731.0,2019-11-02,42.81,1,Home,22807.24,15,316,4.6
T00085,542,34,3,2022-09-25,0,56.0,Other,Delhi,1741791.0,2019-03-31,51.06,1,Clothing,2850.59,5,300,2.8
T00086,494,100,4,2023-07-03,1,50.0,Male,Mumbai,919560.0,2020-11-04,90.34,1,Home,11936.9,15,229,1.8
T00087,359,63,2,2022-03-15,1,26.0,Other,Surat,1512532.0,2019-06-12,77.57,1,Groceries,1408.51,10,345,4.0
T00088,314,33,3,2023-05-23,0,65.0,Female,Ahmedabad,1634421.0,2019-08-14,43.31,1,Clothing,4583.61,10,246,2.0
T00089,390,68,3,2022-03-14,1,48.0,Other,Delhi,1319256.0,2023-05-12,54.8,1,Groceries,529.99,15,359,1.0
T00090,10,47,1,2022-11-04,0,39.0,Male,Ahmedabad,2298090.0,2022-02-09,55.75,1,Toys,3240.34,10,428,1.3
T00091,765,58,3,2022-07-18,0,48.0,Male,Delhi,902084.0,2020-04-23,20.85,1,Toys,3847.93,20,280,2.1
T00092,488,47,4,2022-05-10,0,48.0,Male,Delhi,236168.0,2020-01-21,89.57,1,Toys,3240.34,10,428,1.3
T00093,667,99,3,2024-01-28,1,40.0,Other,Surat,,2018-11-09,52.88,1,Toys,5881.93,20,275,4.6
T00094,886,90,2,2024-04-03,1,74.0,Male,Mumbai,,2021-06-13,40.9,1,Books,2610.34,15,441,1.2
T00095,890,50,3,2023-07-26,1,62.0,Other,Mumbai,1658409.0,2021-09-13,,0,Groceries,1106.41,15,324,1.4
T00096,888,85,1,2024-03-01,0,73.0,Other,Delhi,751973.0,2023-02-23,38.19,0,Electronics,28165.65,5,408,4.3
T00097,889,76,2,2023-09-07,0,19.0,Female,Rajkot,1649449.0,2020-11-11,26.55,1,Electronics,23392.87,0,186,1.6
T00098,429,20,2,2024-03-18,1,49.0,Female,Delhi,948324.0,2018-01-31,86.59,1,Home,8966.39,5,215,3.3
T00099,105,24,1,2024-04-11,1,62.0,Other,Rajkot,212561.0,2022-12-15,93.56,1,Books,2901.81,0,436,3.3
T00100,118,18,4,2023-05-02,1,48.0,Other,Surat,357092.0,2020-11-07,98.45,1,Toys,1049.25,20,166,1.5
T00101,259,5,2,2024-05-02,0,66.0,Male,Rajkot,734492.0,2020-12-30,89.77,1,Home,23609.45,5,108,2.9
T00102,651,67,4,2022-05-31,1,27.0,Other,Delhi,1845114.0,2022-08-18,56.05,0,Groceries,1390.87,5,96,1.4
T00103,265,78,2,2023-10-31,1,58.0,Male,Rajkot,1740558.0,2019-12-13,67.6,0,Groceries,174.87,0,140,3.2
T00104,590,77,2,2022-07-25,1,41.0,Other,Ahmedabad,554152.0,2023-03-30,22.1,1,Toys,1098.07,15,433,2.9
T00105,949,12,4,2022-06-28,1,71.0,Male,Delhi,333753.0,2019-12-17,,0,Home,1131.96,5,445,4.9
T00106,467,12,2,2022-07-16,0,49.0,Other,Surat,2186073.0,2019-06-03,99.36,1,Home,1131.96,5,445,4.9
T00107,394,96,4,2024-01-05,1,60.0,Female,Surat,405219.0,2018-02-25,82.54,1,Toys,2503.56,15,408,1.6
T00108,313,33,1,2022-03-30,1,42.0,Female,Rajkot,565094.0,2022-10-05,16.74,1,Clothing,4583.61,10,246,2.0
T00109,491,54,4,2024-03-09,1,27.0,Male,Delhi,761808.0,2019-11-25,47.94,1,Clothing,719.93,15,389,2.5
T00110,419,12,1,2023-03-10,1,51.0,Female,Vadodara,122258.0,2021-12-28,42.16,1,Home,1131.96,5,445,4.9
T00111,677,47,2,2024-02-27,1,58.0,Male,Delhi,1225293.0,2018-12-18,89.6,1,Toys,3240.34,10,428,1.3
T00112,410,72,4,2024-01-18,1,41.0,Other,Ahmedabad,1502715.0,2023-05-20,42.0,1,Home,22153.51,5,497,3.0
T00113,797,25,2,2022-07-02,0,19.0,Other,Rajkot,369276.0,2019-12-21,46.07,1,Toys,1624.24,15,11,3.1
T00114,468,2,4,2022-07-28,1,38.0,Other,Rajkot,269667.0,2022-02-26,33.8,1,Electronics,28275.9,0,13,4.8
T00115,344,81,1,2023-05-08,1,62.0,Female,Surat,1814475.0,2021-01-03,39.73,0,Clothing,3546.64,15,127,2.2
T00116,655,68,1,2022-05-10,1,36.0,Male,Rajkot,544104.0,2021-05-17,52.3,1,Groceries,529.99,15,359,1.0
T00117,394,83,4,2023-10-27,1,60.0,Female,Surat,405219.0,2018-02-25,82.54,1,Clothing,1138.42,20,478,1.1
T00118,246,75,1,2022-01-13,0,67.0,Male,Mumbai,,2019-05-26,89.71,1,Books,2672.75,5,430,3.2
T00119,903,52,2,2023-09-26,1,61.0,Male,Ahmedabad,2060542.0,2022-01-07,40.76,1,Home,15124.37,5,237,1.4
T00120,299,72,2,2024-05-20,1,47.0,Female,Delhi,501435.0,2019-10-23,85.94,1,Home,22153.51,5,497,3.0
T00121,607,1,3,2024-01-02,0,33.0,Female,Delhi,1542031.0,2019-09-22,64.4,1,Books,2130.87,10,173,3.0
T00122,365,77,1,2022-04-16,1,33.0,Other,Mumbai,258877.0,2021-11-30,70.1,1,Toys,1098.07,15,433,2.9
T00123,548,18,2,2023-01-10,0,23.0,Male,Mumbai,951409.0,2022-09-27,55.06,1,Toys,1049.25,20,166,1.5
T00124,435,25,4,2023-08-05,1,61.0,Female,Surat,898044.0,2018-03-31,32.95,0,Toys,1624.24,15,11,3.1
T00125,247,87,1,2023-12-08,1,64.0,Male,Rajkot,2237033.0,2020-12-13,47.42,1,Clothing,2045.64,5,30,3.3
T00126,891,2,2,2023-11-29,1,35.0,Female,Delhi,1536788.0,2018-08-12,45.42,1,Electronics,28275.9,0,13,4.8
T00127,561,16,1,2022-04-09,1,66.0,Other,Mumbai,1413998.0,2022-03-15,19.73,1,Clothing,2613.84,0,178,2.5
T00128,369,91,4,2023-08-17,1,39.0,Female,Mumbai,2029383.0,2023-02-03,65.51,1,Toys,579.59,10,118,2.8
T00129,912,36,2,2023-08-10,1,27.0,Female,Rajkot,1098608.0,2019-10-22,47.03,1,Home,22807.24,15,316,4.6
T00130,197,58,3,2024-06-04,1,,Other,Ahmedabad,1567000.0,2021-10-26,21.73,0,Toys,3847.93,20,280,2.1
T00131,267,78,3,2024-05-01,1,58.0,Female,Rajkot,1643209.0,2019-08-27,37.15,1,Groceries,174.87,0,140,3.2
T00132,64,1,1,2022-07-11,1,40.0,Female,Surat,,2018-07-26,93.55,1,Books,2130.87,10,173,3.0
T00133,378,60,4,2022-11-21,0,43.0,Female,Vadodara,155020.0,2019-02-09,37.3,0,Clothing,500.57,10,253,4.9
T00134,162,66,2,2023-12-27,1,,Male,Delhi,230394.0,2019-10-28,6.1,1,Electronics,57496.3,10,441,2.2
T00135,683,15,4,2024-04-06,0,65.0,Other,Surat,2347356.0,2020-10-14,46.04,1,Electronics,43365.65,5,281,4.9
T00136,558,60,2,2023-04-12,1,67.0,Male,Vadodara,,2020-05-06,48.76,1,Clothing,500.57,10,253,4.9
T00137,34,39,1,2024-06-12,1,47.0,Female,Rajkot,862128.0,2021-08-18,8.41,1,Books,663.71,15,434,3.0
T00138,8,100,2,2023-01-02,1,66.0,Male,Mumbai,487649.0,2021-04-03,49.98,1,Home,11936.9,15,229,1.8
T00139,224,62,4,2022-11-14,1,57.0,Male,Delhi,1954344.0,2020-06-30,9.49,1,Groceries,1806.85,0,372,4.4
T00140,478,13,4,2022-05-24,1,74.0,Male,Vadodara,1492214.0,2023-02-05,51.36,1,Groceries,821.97,20,273,2.9
T00141,587,96,1,2023-01-19,1,58.0,Female,Ahmedabad,1565072.0,2020-10-15,20.28,1,Toys,2503.56,15,408,1.6
T00142,697,70,4,2022-08-04,0,41.0,Other,Ahmedabad,1525142.0,2021-05-12,15.44,1,Clothing,2516.66,15,15,2.2
T00143,267,59,2,2022-12-27,0,58.0,Female,Rajkot,1643209.0,2019-08-27,37.15,1,Clothing,498.06,0,12,1.1
T00144,561,44,1,2022-11-20,0,66.0,Other,Mumbai,1413998.0,2022-03-15,19.73,1,Toys,4226.53,5,438,3.1
T00145,27,54,2,2022-01-15,1,29.0,Other,Vadodara,1645513.0,2023-05-29,64.9,0,Clothing,719.93,15,389,2.5
T00146,893,88,4,2022-08-05,0,28.0,Male,Delhi,2397365.0,2019-02-19,86.47,1,Toys,2144.89,15,258,4.7
T00147,603,4,1,2023-05-07,1,51.0,Male,Rajkot,2266008.0,2018-05-21,80.36,1,Toys,1696.13,20,79,4.4
T00148,317,82,2,2023-07-01,1,51.0,Male,Surat,767066.0,2019-05-08,25.27,1,Books,2343.59,5,112,2.8
T00149,905,5,4,2022-07-02,0,55.0,Female,Rajkot,753833.0,2018-03-26,29.7,1,Home,23609.45,5,108,2.9
T00150,751,35,4,2022-09-27,1,59.0,Male,Mumbai,431456.0,2020-09-17,73.28,1,Groceries,1662.07,20,221,2.9
T00151,425,95,3,2023-04-12,1,69.0,Female,Rajkot,1345660.0,2019-04-26,78.25,0,Books,2908.33,5,320,1.7
T00152,909,42,4,2024-05-19,0,,Female,Surat,1622443.0,2022-11-12,6.85,1,Home,5795.42,15,273,4.8
T00153,120,94,2,2023-09-04,1,29.0,Male,Ahmedabad,486598.0,2020-05-26,68.04,1,Toys,5998.48,10,387,3.1
T00154,961,48,1,2023-06-03,1,23.0,Male,Delhi,505709.0,2021-08-11,48.93,1,Groceries,1241.05,5,166,1.6
T00155,301,20,3,2023-06-26,1,31.0,Male,Rajkot,179642.0,2020-06-06,11.97,1,Home,8966.39,5,215,3.3
T00156,56,33,4,2023-04-12,1,34.0,Other,Ahmedabad,1544026.0,2022-10-05,36.84,1,Clothing,4583.61,10,246,2.0
T00157,410,99,4,2022-11-01,1,41.0,Other,Ahmedabad,1502715.0,2023-05-20,42.0,1,Toys,5881.93,20,275,4.6
T00158,173,33,4,2022-05-24,1,33.0,Male,Vadodara,1966844.0,2020-02-18,5.72,1,Clothing,4583.61,10,246,2.0
T00159,905,98,2,2022-04-21,0,55.0,Female,Rajkot,753833.0,2018-03-26,29.7,1,Toys,509.15,15,271,2.2
T00160,152,55,3,2022-08-20,1,57.0,Female,Ahmedabad,,2021-05-13,35.3,1,Electronics,19468.16,20,127,2.0
T00161,337,92,2,2023-11-22,1,72.0,Male,Delhi,1335716.0,2022-09-05,43.2,0,Clothing,3091.76,0,117,2.8
T00162,462,44,3,2023-08-07,0,65.0,Other,Delhi,693695.0,2022-02-02,55.95,1,Toys,4226.53,5,438,3.1
T00163,201,85,1,2023-12-23,1,29.0,Other,Ahmedabad,1179855.0,2020-04-09,8.42,1,Electronics,28165.65,5,408,4.3
T00164,370,4,2,2024-01-02,1,42.0,Male,Ahmedabad,893781.0,2022-03-03,21.2,0,Toys,1696.13,20,79,4.4
T00165,198,81,2,2023-08-15,1,,Other,Surat,543838.0,2019-08-15,47.14,1,Clothing,3546.64,15,127,2.2
T00166,137,73,1,2023-05-15,1,43.0,Female,Surat,1079657.0,2019-12-24,77.88,1,Groceries,1695.89,15,454,4.5
T00167,157,62,3,2023-08-18,1,56.0,Male,Ahmedabad,237032.0,2019-05-21,43.61,1,Groceries,1806.85,0,372,4.4
T00168,760,62,4,2023-07-08,1,26.0,Male,Delhi,2267471.0,2021-12-01,90.06,1,Groceries,1806.85,0,372,4.4
T00169,212,18,1,2022-09-30,1,43.0,Female,Rajkot,1687722.0,2021-06-12,9.77,1,Toys,1049.25,20,166,1.5
T00170,601,31,4,2023-12-04,1,56.0,Other,Mumbai,407568.0,2020-03-27,49.19,0,Home,4409.07,0,138,3.0
T00171,673,30,4,2022-06-22,1,30.0,Female,Ahmedabad,2295674.0,2021-02-08,25.44,1,Groceries,1889.88,15,487,2.0
T00172,806,46,1,2022-01-07,1,30.0,Other,Mumbai,,2022-01-17,32.36,1,Toys,5893.35,20,336,1.0
T00173,657,12,3,2022-06-04,1,64.0,Other,Mumbai,337736.0,2019-05-12,58.43,0,Home,1131.96,5,445,4.9
T00174,769,63,4,2023-06-06,1,34.0,Female,Surat,2422524.0,2021-05-12,98.53,0,Groceries,1408.51,10,345,4.0
T00175,554,52,1,2023-06-30,1,48.0,Other,Surat,1141492.0,2020-01-30,79.0,1,Home,15124.37,5,237,1.4
T00176,863,97,2,2023-07-02,1,55.0,Female,Vadodara,1225020.0,2018-03-08,86.88,1,Home,14355.86,10,272,1.7
T00177,285,72,2,2023-06-02,0,44.0,Other,Vadodara,1675909.0,2021-03-12,55.93,0,Home,22153.51,5,497,3.0
T00178,889,84,2,2022-08-03,1,19.0,Female,Rajkot,1649449.0,2020-11-11,26.55,1,Books,849.78,5,133,1.2
T00179,297,85,1,2022-05-14,1,24.0,Female,Rajkot,2184310.0,2020-03-11,,0,Electronics,28165.65,5,408,4.3
T00180,121,85,2,2022-10-12,0,48.0,Other,Ahmedabad,808473.0,2019-06-29,23.78,1,Electronics,28165.65,5,408,4.3
T00181,105,64,4,2022-05-06,1,62.0,Other,Rajkot,212561.0,2022-12-15,93.56,1,Home,9040.89,15,269,1.9
T00182,789,87,2,2023-03-15,1,28.0,Female,Delhi,1175991.0,2018-10-27,32.72,1,Clothing,2045.64,5,30,3.3
T00183,620,4,2,2024-04-28,1,73.0,Female,Delhi,902929.0,2020-02-25,92.23,1,Toys,1696.13,20,79,4.4
T00184,49,6,4,2023-11-17,0,28.0,Male,Rajkot,2025766.0,2021-07-26,96.21,1,Toys,1255.52,0,418,3.9
T00185,542,23,2,2022-06-01,1,56.0,Other,Delhi,1741791.0,2019-03-31,51.06,1,Clothing,2555.84,20,60,1.3
T00186,162,67,4,2022-11-27,1,,Male,Delhi,230394.0,2019-10-28,6.1,1,Groceries,1390.87,5,96,1.4
T00187,502,95,2,2023-06-22,0,46.0,Male,Delhi,,2019-12-13,50.18,1,Books,2908.33,5,320,1.7
T00188,468,69,4,2023-01-18,1,38.0,Other,Rajkot,269667.0,2022-02-26,33.8,1,Home,21463.29,5,293,1.4
T00189,837,63,2,2022-04-25,1,25.0,Female,Surat,2202894.0,2021-07-10,52.22,1,Groceries,1408.51,10,345,4.0
T00190,586,92,4,2024-06-12,0,50.0,Other,Vadodara,219144.0,2021-06-18,81.63,1,Clothing,3091.76,0,117,2.8
T00191,635,51,1,2023-04-27,1,53.0,Other,Delhi,1157306.0,2020-12-21,60.76,0,Groceries,1250.97,15,158,1.5
T00192,368,5,4,2022-10-11,1,68.0,Other,Ahmedabad,613337.0,2019-02-25,76.84,1,Home,23609.45,5,108,2.9
T00193,388,51,2,2024-06-17,1,46.0,Other,Rajkot,434435.0,2021-05-19,12.53,1,Groceries,1250.97,15,158,1.5
T00194,196,57,2,2022-03-16,0,21.0,Other,Rajkot,1609623.0,2022-01-25,76.33,1,Toys,2336.65,15,29,2.6
T00195,376,32,3,2022-06-15,0,56.0,Male,Vadodara,1098119.0,2020-04-17,45.86,1,Home,21526.0,0,402,2.6
T00196,970,17,4,2022-07-08,0,27.0,Other,Mumbai,2370224.0,2022-09-07,60.93,1,Toys,1098.17,15,163,2.9
T00197,485,12,1,2022-03-19,1,55.0,Male,Rajkot,1779355.0,2023-05-31,62.17,1,Home,1131.96,5,445,4.9
T00198,879,96,4,2023-08-25,1,55.0,Other,Ahmedabad,439578.0,2020-10-03,76.4,1,Toys,2503.56,15,408,1.6
T00199,298,74,4,2023-11-19,0,41.0,Female,Vadodara,864783.0,2019-04-17,71.54,1,Groceries,1192.1,10,427,3.2
T00200,642,86,1,2022-01-21,0,26.0,Other,Vadodara,159565.0,2018-09-01,37.58,1,Home,5620.98,10,159,2.4
T00201,291,22,4,2023-07-20,1,74.0,Male,Vadodara,1680635.0,2022-04-28,49.94,1,Clothing,2891.78,5,169,1.9
T00202,942,75,1,2022-07-03,1,18.0,Other,Mumbai,370746.0,2019-12-27,42.4,1,Books,2672.75,5,430,3.2
T00203,1000,92,1,2024-05-20,1,22.0,Other,Ahmedabad,1907976.0,2022-06-01,96.17,1,Clothing,3091.76,0,117,2.8
T00204,714,39,4,2022-08-10,1,72.0,Male,Ahmedabad,865059.0,2021-10-15,,1,Books,663.71,15,434,3.0
T00205,606,77,4,2024-04-06,1,69.0,Other,Rajkot,642299.0,2020-10-25,42.21,1,Toys,1098.07,15,433,2.9
T00206,921,51,2,2022-11-24,0,67.0,Female,Delhi,2221142.0,2020-05-27,48.16,1,Groceries,1250.97,15,158,1.5
